lea_name,old_lea_name,NAME,leaid,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_hispanic,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,top10_flag,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
Acalanes Union High,Acalanes Union High,California,0601650,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.99106,1,0.99535,1,NA,NA,0.99511
Accomack County,ACCOMACK CO PBLC SCHS,Virginia,5100060,0.92982,0.64015,0.9661,NA,NA,NA,NA,0,0.87284,0.87797,0.88449,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
Achievement,Achievement School District,Tennessee,4700147,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
Achievement,ACHIEVEMENT SCHOOL DISTRICT,Nevada,3200022,NA,NA,NA,NA,NA,NA,NA,0,0.95477,0.99726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achille,ACHILLE,Oklahoma,4002370,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acton-Agua Dulce Unified,Acton-Agua Dulce Unified,California,0600001,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acton-Boxborough,Acton-Boxborough,Massachusetts,2501710,NA,NA,NA,NA,NA,NA,NA,0,0.9497,0.95096,0.95572,0.95047,NA,NA,0.95487,NA,NA,NA,NA,NA,NA,NA
Acton Schools,Acton Public Schools,Maine,2302220,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acushnet,Acushnet,Massachusetts,2501740,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ada,ADA,Oklahoma,4002430,0.4878,0.50106,0.45217,NA,0.5539,NA,0.47674,0,0.95657,0.94045,0.94984,NA,0.9525,NA,0.956,0.45217,0.4878,0.50106,NA,0.5539,NA,0.47674
Ada-Borup-West,ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,2700126,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Ada Exempted Village,Ada Exempted Village,Ohio,3904518,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adair,ADAIR,Oklahoma,4002460,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adair-Casey Community,Adair-Casey Comm School District,Iowa,1903090,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adair County,Adair County,Kentucky,2100030,0,0,0,NA,NA,NA,0,0,0.93032,0.9372,0.93036,NA,NA,NA,0.93415,0,0,0,NA,NA,NA,0
Adair County Reorganized-I,ADAIR CO. R-I,Missouri,2922980,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adair County Reorganized-II,ADAIR CO. R-II,Missouri,2905790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam/Brwn/Cass/Morgn/Pik/Sctt Regional Office of Education,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Illinois,1700162,NA,0.51087,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Adams,School District N. 14 in the county of Adams & State of Colo,Colorado,0801950,0.12821,0.15347,0.1055,NA,0.30769,NA,0.15789,0,0.80272,0.83285,0.82216,NA,0.81743,NA,0.8275,0.8945,0.87179,0.84653,NA,0.69231,NA,0.84211
Adams-Cheshire,Adams-Cheshire,Massachusetts,2501780,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams-Friendship Area,Adams-Friendship Area School District,Wisconsin,5500060,NA,NA,NA,NA,NA,NA,NA,0,0.90285,NA,0.88171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams 12 Five Star Schools,Adams 12 Five Star Schools,Colorado,0806900,0.28163,0.09349,0.30186,0.1324,0.32836,0.14286,0.17949,1,0.96032,0.961,0.9565,0.94853,0.9621,0.97464,0.95038,0.65966,0.66531,0.88232,0.86063,0.64179,0.85714,0.80128
Adams Central Community Schools,Adams Central Community Schools,Indiana,1800060,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams Central Schools,ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,3102770,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams County Ohio Valley Local,Adams County Ohio Valley Local,Ohio,3906190,NA,0.14107,NA,NA,NA,NA,NA,0,NA,NA,0.93896,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Adams Township,Adams Township School District,Michigan,2601890,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Addison,Addison Community Schools,Michigan,2601920,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Addison 4,Addison SD 4,Illinois,1703150,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
Addison Central,ADDISON CENTRAL SCHOOL DISTRICT,New York,3602370,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Addison Central Unified,Addison Central Unified School District,Vermont,5000402,NA,NA,NA,NA,NA,NA,NA,1,0.92961,NA,0.94034,NA,NA,NA,0.93255999999999994,NA,NA,NA,NA,NA,NA,NA
Addison Northwest Unified,Addison Northwest Unified School District,Vermont,5000398,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adel 21,Adel SD 21,Oregon,4100990,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adel Desoto Minburn Community,Adel DeSoto Minburn Comm School District,Iowa,1903150,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.86675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelanto Elementary,Adelanto Elementary,California,0601710,NA,NA,NA,NA,NA,NA,NA,0,0.92249,0.92674,0.92188,0.91662,NA,0.92736,0.92419,NA,NA,NA,NA,NA,NA,NA
Adena Local,Adena Local,Ohio,3904949,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adirondack Central,ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3605040,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.91997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adlai E Stevenson High Schoold 125,Adlai E Stevenson HSD 125,Illinois,1732580,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Admiral Peary Avts,Admiral Peary AVTS,Pennsylvania,4280120,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adna,Adna School District,Washington,5300060,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian,ADRIAN ISD,Texas,4807500,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian,ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,2702730,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian,Adrian School District of the City of,Michigan,2601950,0,0,0,NA,NA,NA,0,0,0.96755,0.96452,0.97432,NA,NA,NA,0.96564,0,0,0,NA,NA,NA,0
Adrian 61,Adrian SD 61,Oregon,4101020,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian Reorganized-III,ADRIAN R-III,Missouri,2902850,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Advance Reorganized-IV,ADVANCE R-IV,Missouri,2902880,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ae Phillips Laboratory School,A.E. Phillips Laboratory School,Louisiana,2200056,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AERO Special Education Cooperative,A E R O  Spec Educ Coop,Illinois,1700024,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Affton 101,AFFTON 101,Missouri,2902910,NA,NA,NA,NA,NA,NA,NA,0,0.94063,0.94063,0.93963,0.93766,NA,NA,0.93654,NA,NA,NA,NA,NA,NA,NA
Afton,AFTON,Oklahoma,4002520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afton Central,AFTON CENTRAL SCHOOL DISTRICT,New York,3602400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AgarBluntOnida,Agar-Blunt-Onida School District 58-3,South Dakota,4600042,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.9514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agate,Agate School District No. 300,Colorado,0801980,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agawam,Agawam,Massachusetts,2501800,NA,NA,NA,NA,NA,NA,NA,0,0.95147,0.94816,0.94831,0.95573,NA,NA,0.94788,NA,NA,NA,NA,NA,NA,NA
Agra,AGRA,Oklahoma,4002550,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Dulce,AGUA DULCE ISD,Texas,4807530,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Fria Union High,Agua Fria Union High School District,Arizona,0400450,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1
Aguila Elementary District,Aguila Elementary District,Arizona,0400480,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aguilar Reorganized,Aguilar Reorganized School District No. 6,Colorado,0802010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGWSR Community,AGWSR Comm School District,Iowa,1903060,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.94327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AHSTW Community,AHSTW Comm School District,Iowa,1904080,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiken 01,Aiken 01,South Carolina,4500720,0.23267,0.15655,0.20225,0.06,0.04167,NA,0.24664,1,0.88464,0.88774,0.88699,0.88766,0.88141,NA,0.89342,0.88604,0.87913,0.91367,1,0.95833,NA,0.87892
Ainsworth Community Schools,AINSWORTH COMMUNITY SCHOOLS,Nebraska,3102790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Airline Csd,Airline CSD,Maine,2302500,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Airport,Airport Community Schools,Michigan,2601980,0,0.08685,0.07407,NA,NA,NA,NA,0,0.9672,0.97678,0.9697,NA,NA,NA,NA,0.81481,0.92683,0.83685,NA,NA,NA,NA
Aitkin,AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,2702760,NA,0.01161,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Ajo,Ajo Unified District,Arizona,0400520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akin Community Consolidated 91,Akin CCSD 91,Illinois,1703210,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron,Akron School District No. R-1,Colorado,0802040,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron-Fairgrove Schools,Akron-Fairgrove Schools,Michigan,2602010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Central,AKRON CENTRAL SCHOOL DISTRICT,New York,3602430,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron City,Akron City,Ohio,3904348,0,0,0,0,NA,NA,0,1,0.96615,0.9644,0.96402,0.96165,NA,NA,0.96546,0.40664,0.48253,0.61277,0.09455,NA,NA,0.45187
Akron Westfield Community,Akron Westfield Comm School District,Iowa,1903220,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabaster City,Alabaster City,Alabama,0100190,NA,NA,NA,NA,NA,NA,NA,0,0.977,0.97714,0.9768,0.97718,NA,NA,0.97708,NA,NA,NA,NA,NA,NA,NA
Alachua,ALACHUA,Florida,1200030,0.05083,0.01403,0.01706,0.00528,0.04167,NA,0.02712,0,0.85488,0.81825,0.85915,0.83923,0.83596,NA,0.84915,0.78358,0.69802,0.75099,0.72887,0.79167,NA,0.74141
Alamance-Burlington Schools,Alamance-Burlington Schools,North Carolina,3700030,0.04468,0.03731,0.03213,0.03774,0.13043,NA,0.05263,0,0.93477,0.93867,0.9498,0.94274,0.94695,NA,0.94504,0.96787,0.95532,0.96269,0.96226,0.86957,NA,0.94737
Alameda County Office of Education,Alameda County Office of Education,California,0691051,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
Alameda Unified,Alameda Unified,California,0601770,0.10098,0.06602,0.12317,0.08813,NA,0.16667,0.06604,0,0.90374,0.8832,0.89877,0.896,NA,0.89523,0.90466,0.87683,0.89902,0.93398,0.91187,NA,0.83333,0.93396
Alamo,Alamo,Tennessee,4700030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo Heights,ALAMO HEIGHTS ISD,Texas,4807590,0,0,0,0,NA,NA,NA,0,0.9567,0.95591,0.95609,0.95902,NA,NA,NA,0.99538,1,1,1,NA,NA,NA
Alamogordo Schools,ALAMOGORDO PUBLIC SCHOOLS,New Mexico,3500030,0,0,0,0,0,NA,0,0,0.77258,0.75146,0.74702,0.74931,0.77073,NA,0.7159,0.87624,0.88889,0.94301,0.96667,0.83333,NA,0.93478000000000006
Alamosa,Alamosa School District No. Re-11J,Colorado,0802070,NA,0.95074,0.90453,NA,NA,NA,0.8125,0,NA,NA,NA,NA,NA,NA,NA,0.90453,NA,0.95074,NA,NA,NA,0.8125
Alanson Schools,Alanson Public Schools,Michigan,2621810,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska Gateway,Alaska Gateway School District,Alaska,0200050,NA,0.67692,NA,NA,0.42918,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
Alba-Golden,ALBA-GOLDEN ISD,Texas,4807650,NA,0.99219,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Alba Schools,Alba Public Schools,Michigan,2602040,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,ALBANY ISD,Texas,4807680,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,2702930,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.95194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,Albany School District,Vermont,5001740,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany,Albany School District,Wisconsin,5500120,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany-Schoharie-Schenectady-Saratoga Boces,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,3680100,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albany City,ALBANY CITY SCHOOL DISTRICT,New York,3602460,NA,NA,NA,NA,NA,NA,NA,0,0.87989,0.87247,0.89079,0.87556,NA,NA,0.89461,NA,NA,NA,NA,NA,NA,NA
Albany City Unified,Albany City Unified,California,0601860,1,1,1,1,NA,NA,1,0,0.89212,0.88856,0.88008,0.88815,NA,NA,0.90046,0.97396,0.97619,0.98783,0.9972,NA,NA,1
Albany County 1,Albany County School District #1,Wyoming,5600730,0.05,0.06228,0.07143,0.10526,NA,NA,0.12195,1,0.91867,0.92622,0.91754,0.89572,NA,NA,0.9211,0.92857,0.95,0.93772,0.89474,NA,NA,0.87805
Albany Reorganized-III,ALBANY R-III,Missouri,2902970,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albemarle County,ALBEMARLE CO PBLC SCHS,Virginia,5100090,0.95425,0.65361,0.89552,0.86818,NA,NA,0.82511,0,0.92574,0.91967,0.92144,0.92503,NA,NA,0.92578,1,1,1,1,NA,NA,1
Albers 63,Albers SD 63,Illinois,1703270,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albert City-Truesdale Community,Albert City-Truesdale Comm School District,Iowa,1900031,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albert Gallatin Area,Albert Gallatin Area SD,Pennsylvania,4202100,NA,NA,NA,NA,NA,NA,NA,0,NA,0.95361,0.96102,NA,NA,NA,0.96915,NA,NA,NA,NA,NA,NA,NA
Albert Lea,ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,2702970,0,0,0,0,NA,NA,0,0,0.84048,0.80807,0.8265,0.82094,NA,NA,0.83142,0,0,0,0,NA,NA,0
Alberton K-12 Schools,Alberton K-12 Schools,Montana,3001860,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albertville City,Albertville City,Alabama,0100005,NA,NA,NA,NA,NA,NA,NA,0,0.83906,0.84299,0.83644,NA,NA,NA,0.83813,NA,NA,NA,NA,NA,NA,NA
Albia Community,Albia Comm School District,Iowa,1903270,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.95545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albion,ALBION,Oklahoma,4002580,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albion Central,ALBION CENTRAL SCHOOL DISTRICT,New York,3602520,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albuquerque Schools,ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,3500060,0.01415,0.02228,0.03113,0.00475,0.03466,0,0.03188,1,0.89435,0.89635,0.9141,0.91776,0.90282,0.89619,0.90754,0.858,0.9434,0.92325,0.97147,0.93172,1,0.9058
Alburg,Alburg School District,Vermont,5001770,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alburnett Community,Alburnett Comm School District,Iowa,1903300,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlcesterHudson,Alcester-Hudson School District 61-1,South Dakota,4600028,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcoa,Alcoa,Tennessee,4700060,NA,NA,NA,NA,NA,NA,NA,0,0.83905,0.80949,0.8206,NA,NA,NA,0.82453,NA,NA,NA,NA,NA,NA,NA
Alcona,Alcona Community Schools,Michigan,2602160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
