lea_name,old_lea_name,NAME,leaid,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_hispanic,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,top10_flag,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
45 DuPage County,SD 45 DuPage County,Illinois,1740350,NA,NA,NA,NA,NA,NA,NA,0,0.81306,0.82603,0.84993,0.85614,NA,NA,0.83765,NA,NA,NA,NA,NA,NA,NA
A-C Central Community Unit 262,A-C Central CUSD 262,Illinois,1700105,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A W Beattie Career Center,A W Beattie Career Center,Pennsylvania,4280010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbeville 60,Abbeville 60,South Carolina,4500690,1,1,NA,NA,NA,NA,1,0,NA,0.92835,0.94684,NA,NA,NA,0.95307,NA,0,0,NA,NA,NA,0
Abbotsford,Abbotsford School District,Wisconsin,5500030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott,ABBOTT ISD,Texas,4807380,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abc Unified,ABC Unified,California,0601620,0,0,0,0,0,0,0,0,0.93928,0.93738,0.94312,0.94826,0.95309,0.92547,0.93967,0.91661,0.93042,0.91748,0.99107,1,0.98214,0.96454
Aberdeen,ABERDEEN DISTRICT,Idaho,1600030,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen,ABERDEEN SCHOOL DIST,Mississippi,2800360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen,Aberdeen School District,Washington,5300030,NA,0,0,0,0,NA,0,0,0.89904,NA,0.91072,0.91467,0.91376,NA,0.90308,0.86688,NA,0.88852,0.9697,0.88889,NA,0.82979
Aberdeen,Aberdeen School District 06-1,South Dakota,4602070,0,0,0,0,0,NA,0,1,0.76805,0.81143,0.79974,0.78052,0.79511,NA,0.76784,1,1,0.99633,1,0.9703,NA,1
Abernathy,ABERNATHY ISD,Texas,4807410,NA,1,0.9854,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Abilene,Abilene,Kansas,2003180,NA,NA,NA,NA,NA,NA,NA,0,0.93765,NA,0.94674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abilene,ABILENE ISD,Texas,4807440,0.0402,0.03446,0.04355,0.0099,0.04545,NA,0,0,0.91166,0.92029,0.91825,0.92319,0.91306,NA,0.91798,0.95327,0.95645,0.96019,0.9901,0.90909,NA,0.98876
Abingdon-Avon Community Unit 276,Abingdon-Avon CUSD 276,Illinois,1701413,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.89502,NA,NA,NA,0.90017,NA,NA,NA,NA,NA,NA,NA
Abington,Abington,Massachusetts,2501650,NA,NA,NA,NA,NA,NA,NA,0,0.87075,0.88399,0.86839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abington,Abington SD,Pennsylvania,4202040,0.49603,0.47576,0.48302,0.47753,NA,NA,0.47929,0,0.91734,0.92015,0.91891,0.93,NA,NA,0.91539,0.48302,0.49603,0.47576,0.47753,NA,NA,0.47929
Abington Heights,Abington Heights SD,Pennsylvania,4202010,NA,NA,NA,NA,NA,NA,NA,0,0.92771,0.93113,0.93074,0.92961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokee Elementary,Absarokee Elem,Montana,3001710,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absarokee High School,Absarokee H S,Montana,3001740,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Absecon Schools District,Absecon Public Schools District,New Jersey,3400660,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy,ACADEMY ISD,Texas,4807470,0,0,0,NA,NA,NA,0,0,0.93952,0.9426,0.93844,NA,NA,NA,0.94042,1,1,1,NA,NA,NA,1
Academy 20,Academy School District No. 20 in the county of El Paso an,Colorado,0801920,0.15517,0.19206,0.16129,0.18012,0.09524,0.30769,0.13859,0,0.91257,0.91206,0.91122,0.91235,0.91245,0.9139,0.91518,0.97401,0.96897,0.96374,0.98447,0.97619,0.92308,0.98081
Acadia Parish,Acadia Parish,Louisiana,2200030,0,0,0,NA,NA,NA,0,0,0.88264,0.87167,0.8942,NA,NA,NA,0.88841,0,0,0,NA,NA,NA,0
