STUSPS,avg_exp_year_perc_Hisp,avg_exp_year_perc_Black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,percent_adq_couns_Hisp,percent_adq_couns_Black,percent_adq_couns_white,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,perc_ap_stem_Hisp,perc_ap_stem_Black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
AK,0.9572613086924902,0.9469374762779578,0.9620733589851186,0.9598664544813605,0.9242781824754066,0.9571132068515321,0.953629675747299,0.11997319034852547,0.0884450784593438,0.15255138873057486,0.18776077885952713,0.3345860843067547,0.12943116240725475,0.15358215358215357,0.6099195710455764,0.6027104136947218,0.5116455792393328,0.7162726008344924,0.1521076688674454,0.6232481450948063,0.5345345345345346
AL,0.9415014403661819,0.9439582248540265,0.9575962532540486,0.956054838845541,0.9508506043442859,0.945344563878494,0.9515773757562491,0.03074480615920381,0.05421975245440058,0.03138404169332004,0.01745589600742804,0.042282073559223865,0.033532934131736525,0.035686250830263874,0.17093156250533467,0.18101462319067946,0.21269642919127454,0.24531104921077065,0.1773819866782508,0.17964071856287425,0.17293641688303846
AR,0.9455505010642942,0.914524479350399,0.9416517097076044,0.9394020125389527,0.9390929808086953,0.9597281309108391,0.9381696307662293,0.07734936364063308,0.21112939416604337,0.11585087449566246,0.11041009463722397,0.10967741935483871,0.007154213036565978,0.0886685552407932,0.6545813178039731,0.6731787584143605,0.6572927440620953,0.7623554153522608,0.7299539170506912,0.5937996820349761,0.660056657223796
AZ,0.9124139013266684,0.9091394598884335,0.9329359560450576,0.8998024643228222,0.9295284634428684,0.9257924337248998,0.9257835203531054,0.06327656775325245,0.050759701925868574,0.06855553399314315,0.026475980931426477,0.37994375635732663,0.06791907514450866,0.06802520181138019,0.667665545972811,0.6950546791831994,0.6910796299890032,0.8056472313898057,0.43235804463591215,0.6076589595375722,0.640381964953731
CA,0.94336448041136,0.9371562959831635,0.9533507443469282,0.94651018711673085,0.9446306373410508,0.9414349852335641,0.9487060245063414,0.12822487941884028,0.1293114239695561,0.0808200528856372,0.08256437509058409,0.18436578171091444,0.10557729941291585,0.12311530403400628,0.7487180702638793,0.7013611289609186,0.7455419628958045,0.8795030355733772,0.5528515240904621,0.762133072407045,0.6901408450704225
CO,0.959544805795204,0.9644301399105271,0.9577466346621006,0.9648287367882775,0.9435323570163956,0.9549888696095677,0.960311967335632,0.23356175798751017,0.15789473684210525,0.2048879505388727,0.11386463906880691,0.30491518051326666,0.2230971128608924,0.17095698281022834,0.5789829710890856,0.657541978270072,0.7143422146999122,0.8074720735942927,0.6146150500217485,0.6640419947506562,0.7155563157444625
CT,0.9526163108217551,0.9444210901686396,0.9671798760900517,0.966191598643224,0.961343371400467,0.9518790788947814,0.9639192931330707,0.7648129844457161,0.649260192035259,0.9183463724647104,0.8901058331282303,0.8348017621145375,0.7777777777777778,0.8829157175398633,0.7046766893825105,0.6646859751298599,0.8707552908110829,0.8929362539995077,0.8083700440528634,0.8169934640522876,0.7478359908883827
DC,0.9354784817912443,0.9120571239895302,0.9420096373795485,0.9484052134604825,0.9274138546669277,0.9293410095901397,0.934561731092426,0.7084158415841584,0.6507880164702542,0.37483085250338294,0.4542857142857143,0.8064516129032258,0.4074074074074074,0.42214532871972316,0.7383663366336634,0.4527190117847508,0.9025710419485792,0.8857142857142857,0.6451612903225806,0.8148148148148148,0.8096885813148789
DE,0.9337081805132259,0.9320866440150601,0.9442321556717557,0.9520956586029939,0.9274770570695458,0.9314119678399363,0.9400952391971866,0.21588971006253554,0.19913049675718053,0.19572055110087272,0.2400536432722396,0.17733990147783252,0.18333333333333332,0.18784972022382093,0.6790790221716885,0.6765733019742,0.7542639436494928,0.7943674564148413,0.7142857142857143,0.6333333333333333,0.7873701039168665
FL,0.8673124950792827,0.8503129281014404,0.8958696068337468,0.8871157532472155,0.8805190035181896,0.8686796357581791,0.8862383020623277,0.057813597367007724,0.08286417240991377,0.04699612138800849,0.03710817455439459,0.05836341756919374,0.057676685621445976,0.05591098748261474,0.7816179407025903,0.6562758323835983,0.7659358583406524,0.8718116164720344,0.6820096269554753,0.7822908204711616,0.7555632823365785
