leaid,STUSPS,avg_exp_year_perc_Hisp,avg_exp_year_perc_Black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,percent_adq_couns_Hisp,percent_adq_couns_Black,percent_adq_couns_white,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,perc_ap_stem_Hisp,perc_ap_stem_Black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
100005,AL,0.9036153723509625,0.9085528922917178,0.906149352931939,0.9066436114167634,0.9020982737746743,0.9402515998134021,0.9065625773071969,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100006,AL,0.9487919668980062,0.9406948579199833,0.9560855910460981,0.979468559082847,0.9661638321350804,0.96875,0.9641789634611215,0,0,0,0,0,0,0,0.5188470066518847,0.875,0.8147492625368732,0.8571428571428571,0.8571428571428571,0,1
100007,AL,0.9776309287169126,0.9791318140390898,0.9816972930262953,0.978417199538724,0.989861987368726,0.9404986522911052,0.9788310488515423,0,0,0,0,0,0,0,0.8197674418604651,0.8216062544420754,0.7783735478105451,0.8054711246200608,0.5,1,0.7764705882352941
100008,AL,0.9458253029635654,0.9391123268307295,0.9410961321488984,0.9385306344617913,0.9398826227797862,0.9625482089820284,0.9460233040070741,0,0,0,0,0,0,0,0.5084745762711864,0.4896907216494845,0.47368421052631576,0.49295774647887325,0.5517241379310345,0.625,0.4954128440366973
100011,AL,0.9560584291187739,0.960919540229885,0.9632549301561216,0.975328947368421,0.9296875,1,0.9569256756756757,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100012,AL,0.9629838010554151,0.9624450197187394,0.9621369790309385,0.9425430778371955,0.9733713268505234,0.9687125964685253,0.9599113471380544,0,0,0,NA,0,0,0,1,1,1,NA,1,1,1
100013,AL,0.948864190908205,0.9527767696337419,0.9528838563086776,0.9499003095452272,0.9443456937675366,0.8928571428571429,0.9452135868241632,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100030,AL,0.9401702588558658,0.9446300183193203,0.9434741713023859,0.9455063571232074,0.9410189746396642,0.9368253968253969,0.9024577572964668,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
100060,AL,0.9810147299509001,0.9825487944890928,0.9828271107774215,0.9874643874643875,0.9692307692307692,0.9846153846153847,0.9736263736263735,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0
100090,AL,0.96707161125319685,0.9566552354281375,0.9669023267185527,1,1,1,0.9621541501976285,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0
100100,AL,0.9845675337161407,0.9863654863654864,0.982864040182285,0.9805158194631878,0.9810410106462738,0.9871794871794872,0.9814036241161747,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100120,AL,0.9443852909355891,0.9452478302400468,0.9434214250384563,0.9486490096127119,0.937083416790011,0.9452372342401835,0.9478310301208063,0,0,0,0,0,0,0,0.8502673796791443,0.8409090909090909,0.36867636867636866,0.9,0.5333333333333333,0.2,0.7428571428571429
100180,AL,0.9821462488129155,0.9809079809079809,0.9800622171945702,0.9487179487179486,0.9743589743589743,0.9743589743589743,0.9826302729528535,0,0,0,NA,0,NA,0,1,1,1,NA,1,NA,1
100185,AL,0.9539970786655138,0.9517267693991831,0.9555527994926665,0.9506818239232032,0.9562349077562059,NA,0.9546903134620226,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100188,AL,1,1,1,1,1,1,1,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0
100189,AL,0.9496336996336997,0.9456930166607586,0.94915004972952,0.9510314247156352,0.9397697540554683,0.9761904761904762,0.9514041514041514,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
100190,AL,0.9907962680382829,0.9920283330156895,0.9918509691298425,0.9932798479425778,0.9879525553457607,0.9936845006526175,0.9903174858244554,0,0,0,0,0,0,0,1,1,1,1,1,1,1
100194,AL,0.9023593317917769,0.9023585133669542,0.897975930119213,0.9050416600097605,0.9186431521490729,NA,0.9037883062770835,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
