leaid,STUSPS,avg_exp_year_perc_Hisp,avg_exp_year_perc_Black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,percent_adq_couns_Hisp,percent_adq_couns_Black,percent_adq_couns_white,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,perc_ap_stem_Hisp,perc_ap_stem_Black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
100195,AL,0.8270965204019597,0.8407945192882431,0.8217484046876012,0.8204308620935276,0.828310267138719,0.857440188820942,0.9302649930264993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100210,AL,0.957773136300452,0.9552535260225453,0.9558311068599128,0.9567573211977319,0.9590226330164411,0.9483184413005709,0.9539547286731193,0,0,0,0,0,0,0,0.5080645161290323,0.5878378378378378,0.5938316779926817,0.564179104477612,1,0,0.5588235294117647
100240,AL,0.9681631981296794,0.9656175214225119,0.9675708698194097,0.9720197435439459,0.9662170881305737,0.9647755811089909,0.9710700332838755,0,0,0,0,0,0,0,0.963855421686747,0.7414299706170421,0.9956063268892794,1,1,1,0.9722222222222222
100270,AL,0.9699528037084134,0.9665536804801378,0.9695263648733233,0.9715859868108899,0.9661010779387977,0.976982205114417,0.9683563526782085,0,0,0,0,0,0,0,0.9534555712270804,0.9817391304347826,0.9172984148862853,0.9888888888888889,0.8148148148148148,0.7777777777777778,0.9180672268907563
100330,AL,0.8646937120241546,0.8521158158801593,0.8699958037492185,0.8055555555555556,0.8313492063492063,0.8648648648648649,0.8819832437479496,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0
100360,AL,0.959347546304068,0.9822446797678444,0.9525780075879392,0.9910714285714286,0.9673913043478262,NA,0.9416525503482025,0,0,0,0,NA,NA,0,0.56,0.7945205479452054,0.4533898305084746,0,NA,NA,0.5
100390,AL,0.9669524726799538,0.9590711854925035,0.9609933023234838,0.9683866507968226,0.9523749364036928,0.9583180984998315,0.9582529324923361,0,0,0,0,0,0,0,0.15985130111524162,0.40498833662300376,0.36065573770491804,0.3333333333333333,0.2692307692307692,0.3333333333333333,0.3958333333333333
100420,AL,0.9587139065616088,0.9612562795773338,0.9698267273126578,0.9820631822097373,0.965042935824364,0.9608066910848375,0.9718774635134952,0,0,0,0,0,0,0,0.047407407407407405,0.058823529411764705,0.13716295427901523,0.2,0,0,0
100450,AL,0.9761616161616161,0.9755000785052599,0.9769307675293077,0.9748484848484849,0.9760606060606061,NA,0.9730639730639731,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA
100480,AL,0.9931983549509649,0.9900914848698099,0.9939148073022314,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
100510,AL,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100540,AL,0.9733326057998759,0.97814773391500065,0.9791940055191092,0.9821349176431851,0.9848184634116302,0.9774724142847615,NA,0,0,0,0,0,0,NA,0.4375,0.30426356589147285,0.4435483870967742,0.2,0.14285714285714285,0.16666666666666666,NA
100600,AL,0.9703977591036415,0.9520594456399787,0.9697236786677781,0.9810430839002268,0.984,NA,0.9679012345679012,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
100630,AL,0.9746220410992648,0.9708538974407389,0.9746276102613801,0.9677076705373479,0.9833632390966262,0.9695254282754282,0.9640689079737467,0,0,0,0,0,0,0,0.1956521739130435,0.44554455445544555,0.144616607071911,0.375,0.2631578947368421,0,0.4444444444444444
100660,AL,0.947844871062878,0.9359001702152241,0.9440365473443391,0.9224886323958006,0.9609574426346555,0.93734092522803,0.9320140446731243,0,0,0,0,0,0,0,0.13817330210772832,0.34183673469387754,0.20108695652173914,0.6,0.25,0,0.32558139534883723
100690,AL,1,1,1,1,1,1,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0
100720,AL,0.9839314104019986,0.9894446234046704,0.9897700101655603,0.9882684882684883,0.9937629937629938,NA,0.991015741015741,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
100750,AL,0.994430693069307,0.9920079022988506,0.9906361209964413,1,0.9791666666666666,NA,0.991421568627451,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
100780,AL,0.990765892662343,0.9921931001199423,0.9832441841185111,0.9762244412743699,1,NA,0.9891224392752822,0,0,0,0,NA,NA,0,1,0.8979591836734694,0.5284629981024668,1,NA,NA,0.7
100810,AL,0.9486384802852472,0.9371317466043461,0.952007943110678,0.9479410160511142,0.9467426096623358,0.9583333333333334,0.9469040792673332,0,0,0,0,0,0,0,0.30357142857142855,0.24444444444444444,0.4952561669829222,0.25,0.3888888888888889,1,0.6071428571428571
100840,AL,0.9334225174632645,0.9320288143803529,0.9494035152212855,0.9121863799283153,0.9032258064516129,0.8960573476702509,0.9442109872550299,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0
100870,AL,0.9877112135176651,0.993671309734621,0.983803482251316,1,1,0.9283154121863799,1,1,1,1,NA,1,NA,1,0,0,0,NA,0,NA,0
100900,AL,0.8814921920185077,0.8821539710458666,0.8819499406410765,NA,NA,NA,0.8839473684210526,1,1,1,NA,NA,NA,1,0,0,0,NA,NA,NA,0
100930,AL,0.8866785097769538,0.8650244272397168,0.8672243398539368,0.8654519237916621,0.8753097251058122,NA,0.8851879579227536,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
100960,AL,0.9715788362450416,0.9566798380447475,0.964854528908297,0.9354226282192383,0.9446882566585956,NA,0.9492986557568673,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
100990,AL,0.9464224125046257,0.9505851493139629,0.9459038324231827,0.9497713209577615,0.9457035243475922,0.9218294323379069,0.9322825627426111,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101020,AL,1,1,1,1,1,1,1,0.06607929515418502,0.13333333333333333,0.17062146892655367,0,0.2222222222222222,0.5,0.1118421052631579,0.1277533039647577,0,0.1958568738229755,0,0.4444444444444444,0.5,0.17105263157894737
101050,AL,0.9672450052074095,0.961530375051282,0.9654242215649345,0.9531894316777515,0.9805775595302921,0.9837100386886581,0.975294150842836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101080,AL,0.971053279591493,0.970541661225023,0.9710401707138518,0.9701188455008489,0.9729414261460102,0.9736842105263158,0.9724404785406879,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
101110,AL,0.9263752691143452,0.9206387141315148,0.8859842501815912,0.9084126984126986,NA,1,0.9073723263504476,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA
101140,AL,0.9027776210854558,0.8929295077107765,0.9149562827879987,0.9180459669573262,0.9141062785677272,0.869857671588575,0.907970146409126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101170,AL,0.9138665805896884,0.9226726738371335,0.9352283311616643,0.9225161344281613,0.9445404196766425,0.9417584811702459,0.9257887400327962,0,0,0,0,0,0,0,0.9967585089141004,0.978391356542617,0.9848790322580645,0.9705882352941176,1,1,1
101200,AL,0.978514595527276,0.9798829785099386,0.9789036554283738,0.9913391793872469,1,NA,0.991880480675544,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
101260,AL,0.9571587832457398,0.9573094729344729,0.9569267662792842,0.9615384615384616,0.9554334554334555,NA,0.9578754578754578,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0
101290,AL,0.9481118678428476,0.9423363596969796,0.9578191584291847,0.9423268025617606,0.9456895667484639,0.968599266016462,0.9628673519240902,0,0,0,0,0,0,0,0.6146788990825688,0.6650383810188416,0.7851576994434137,0.6938775510204082,0.8333333333333334,1,0.6511627906976745
101320,AL,0.946637586965393,0.9477112034843646,0.9432326376968688,0.9447185824712058,0.948757101406871,0.9457951515793562,0.946681141439206,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101350,AL,0.9274054918232616,0.9079222805715279,0.9459451453241019,0.9172607544005673,0.9509370324042992,0.9654590938571296,0.9197698823597482,0.35294117647058826,0.6603415559772297,0.06767955801104972,0.3333333333333333,0.2708333333333333,0,0.125,0,0,0,0,0,0,0
101380,AL,0.9665807499117801,0.9547735359678168,0.9661562220352495,0.9529453897705473,0.9737779391900502,0.9532051282051283,0.9610839809171003,0,0,0,0,0,0,0,0.6557377049180327,0.9666666666666667,0.7268770402611534,1,0.8,1,0.9333333333333333
101410,AL,0.9034185054868146,0.9012602665981156,0.9041888667895898,0.9130293768991746,0.913855892629887,0.90966741176745,0.9006786288064129,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101440,AL,0.945054945054945,0.935417204856626,0.9387755102040816,NA,1,NA,0.9285714285714286,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0
101470,AL,0.9187584027399235,0.9128857642564155,0.9215575862644568,0.9242124226538252,NA,NA,0.9262881449200525,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
101530,AL,0.885259456347421,0.8914362235516495,0.9199996788803185,0.9047272877468588,0.8962015109873349,0.9543899657924744,0.9036569513102178,0.7610619469026548,0.725,0.7272727272727273,0.7222222222222222,1,NA,0.7019230769230769,0.7610619469026548,0.725,0.7272727272727273,0.7222222222222222,1,NA,0.7019230769230769
101560,AL,0.9076336797765453,0.9189758890041925,0.9080194162159628,0.9066674041134782,0.8700171456383708,0.9836065573770492,0.9115129609831106,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
101590,AL,0.9867248444751655,0.992523027723352,0.9937781189033309,0.9973684210526315,0.9921373555840821,1,0.9882732539985428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101620,AL,0.9116298917114087,0.916478017266871,0.9294912794365957,0.9311054436328873,0.955968216061722,NA,0.9354442401897661,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
101640,AL,0.967908390471478,0.9677207503036301,0.9670326802944087,0.9661058881741712,0.9534883720930233,0.9534883720930233,0.9564571994062346,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
101660,AL,0.7724643842563377,0.7790598965773815,0.7861281869738491,0.7589151424524061,0.7776614123059669,NA,0.7621913007998136,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
101680,AL,0.9916666666666666,0.9867351816443595,1,0.9924242424242423,1,0.9583333333333334,0.9583333333333334,1,1,NA,1,NA,1,1,0,0,NA,0,NA,0,0
101690,AL,0.983967271118974,0.9833701901813356,0.9851231677951454,0.9837174635936246,0.9860681114551084,0.9872721018231854,0.984797967770104,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101710,AL,0.8065364847833683,0.775106567737397,0.8135316784519572,0.8536585365853658,0.8837209302325582,0.7894736842105263,0.8242300890861166,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
101720,AL,0.9611763672357202,0.9479185900986848,0.95128498771677406,0.9618497517490407,0.8984427894380501,0.9583333333333334,0.9526205742960692,1,1,1,1,1,NA,1,0,0,0,0,0,NA,0
101730,AL,0.9826420766250924,0.9738978191456119,0.9827732337318354,0.9852646831292902,0.9800667745209998,1,0.9804138138717532,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101740,AL,0.9577192359818146,0.9568881433521708,0.9660272726497221,0.9729418794866908,0.9423623251748252,NA,0.9533897645653815,0,0,0,0,0,NA,0,0.3877551020408163,0.18205128205128204,0.3399258343634116,0.2,0.5,NA,0.13793103448275862
101760,AL,0.9372984542537648,0.9319001239196553,0.9472989021015179,0.9315656614562898,0.9514821536600121,0.8867924528301887,0.9443306984852312,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
101770,AL,0.9714310241544715,0.9592545634288628,0.9596824985195992,0.9735633828027143,0.9790396019075264,0.9666532474503489,0.9610885071608799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101800,AL,0.8842059845682007,0.8826619456021002,0.9188759174709195,0.9078962674385102,0.8845517812910105,0.8816667742278257,0.8975937275514234,0,0,0,0,0,0,0,0.7595870206489675,0.7952941176470588,0.9516072059342988,0.9428571428571428,0.8108108108108109,0.8571428571428571,0.7842565597667639
101830,AL,0.9825469127937957,0.9780585911399928,0.9803127000442499,0.9785415920754266,0.9881345196322711,0.9690347495273413,0.986454180261321,0,0,0.02711864406779661,0,0.003875968992248062,0,0,0,0,0,0,0,0,0
101860,AL,0.9415584415584416,0.943555477404607,0.9389275074478649,0.96900826446281,0.9659090909090909,0.9090909090909092,0.8636363636363636,0,0,0,0,0,0,0,1,1,1,1,1,1,1
101890,AL,0.9952707110241356,0.9947462553096356,0.9945235622805716,0.9931972789115646,0.9880952380952381,NA,0.9950869236583523,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
101920,AL,0.9414674903567378,0.9399438370395282,0.950803140962937,0.9448167513569484,0.9487397492372007,0.9382725981890073,0.934498896561796,0,0,0,0,0,0,0,0.8267898383371824,0.9551386623164764,0.9496402877697842,0.9113924050632911,0.8571428571428571,0.875,0.7727272727272727
101950,AL,0.9806099033816424,0.9702371775105355,0.9711968724032923,0.9470108695652174,NA,NA,0.9537114455592716,0,0,0,0,NA,NA,0,0.25,0.42168674698795183,0.39371428571428574,0,NA,NA,0.23809523809523808
101980,AL,0.8357131406659241,0.8437551709140378,0.8410782605429168,0.8465274405050995,0.8309859154929577,NA,0.848262438000751,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0
102010,AL,0.9781577797159325,0.9766234110833023,0.978622507318766,0.9707933942048262,0.9805149727555167,0.9880952380952381,0.9739888041323989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102040,AL,0.907435073875707,0.8916400239562007,0.9026546664407273,0.9020663637672388,0.8873520572007543,0.8902634626519976,0.9232350466490157,0.0425531914893617,0.5226130653266332,0.02553626149131767,0,0.007692307692307693,0,0,0.6595744680851063,0.4321608040201005,0.6424923391215526,0.8571428571428571,0.7115384615384616,1,0.5714285714285714
102070,AL,0.9407160537426154,0.9440755755147325,0.9440709958754406,0.9343272743000588,0.9427030061150379,0.9444932265269875,0.9460328218436873,0.2459016393442623,0.2105911330049261,0.008966493629070316,0.2857142857142857,0.05263157894736842,0,0.026785714285714284,0.8142076502732241,0.8977832512315271,0.852760736196319,0.7142857142857143,0.8421052631578947,0.8,0.8660714285714286
102100,AL,0.884785681332166,0.9016982095912809,0.9374559581612582,0.9333223841037527,0.9514666355867576,0.9288237688237688,0.9311707201344236,0,0,0,0,0,0,0,0.4127272727272727,0.39074960127591707,0.5035427491733585,0.5116279069767442,0.4186046511627907,0.6666666666666666,0.36036036036036034
102130,AL,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
102160,AL,0.9954545454545455,0.9689221228426413,0.9779209393762287,0.9545454545454546,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA
102190,AL,0.9448809523809524,0.9400084349359712,0.9224867724867725,1,NA,NA,0.947037037037037,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0
102220,AL,0.9577835837390524,0.9552663090720946,0.9579159866362633,0.9644779062801867,0.9592297553170993,0.9591645649539768,0.9544632944439937,0,0,0,0,0,0,0,0.8954545454545455,0.8578052550231839,0.916231732776618,0.8936170212765957,0.9366197183098591,0.7,0.9019607843137255
102250,AL,0.9616473616473618,0.9640875631729291,0.973046018991965,0.972972972972973,NA,NA,0.972972972972973,0,0.26371951219512196,0.002702702702702703,0,NA,NA,0,0,0,0,0,NA,NA,0
102310,AL,0.9892029395138496,0.9810962287451316,0.9812476748174882,0.9839080459770114,0.97418213969938106,1,0.9800176834659593,0.07692307692307693,0.37735849056603776,0.28401360544217685,0.125,0.16666666666666666,0,0.65,0,0,0,0,0,0,0
102350,AL,0.8888461538461538,0.8785042295833663,0.8546153846153846,0.8076923076923077,0.8645299145299146,NA,0.8855203619909502,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0
102370,AL,0.9997851442602824,0.9995576883459968,0.9998338264076954,0.999729217438397,1,0.9986394557823128,0.9997015610651974,0.011589403973509934,0.14781803449473319,0.003498542274052478,0,0,0,0.027932960893854747,0.7632450331125827,0.4277115406875796,0.9016034985422741,0.8474178403755869,0.9791666666666666,0.8,0.7486033519553073
102400,AL,0.9810049521086239,0.9741894291445627,0.9813464250099376,0.9869123449069248,0.9760564176899968,NA,0.9833435783404514,0,0,0,0,0,NA,0,0.6363636363636364,0.5399568034557235,0.5427098674521355,0.25,0.13095238095238096,NA,0.7083333333333334
102430,AL,0.9403673855644809,0.9492639358172352,0.9473064406788216,0.9487097677986611,0.9156958187167767,0.933180206999709,0.9531011056381113,0.0024813895781637717,0.00765043401500662,0.0015337423312883436,0,0,0,0,0.8560794044665012,0.6855965867294395,0.9248466257668712,0.9903536977491961,1,1,0.9180327868852459
102480,AL,0.9624100610493909,0.9643873852002777,0.9642469186490542,0.9696258583068521,0.9788963546844649,0.9848484848484849,0.956813937390024,0,0,0,0,0,0,0,0.2079207920792079,0.18666666666666668,0.3271954674220963,0,0.2,0,0.45454545454545453
102490,AL,0.887885550378911,0.9024384340748673,0.8879270042772961,0.8882151191437424,0.9223300970873787,NA,0.8856512675246235,0.42857142857142855,0.8888888888888888,0.49950347567030784,0.3888888888888889,1,NA,0.5,0.42857142857142855,0.8888888888888888,0.49950347567030784,0.3888888888888889,1,NA,0.5
102520,AL,0.9902389277389277,0.9914383561643836,0.9913951655281135,0.9912587412587414,0.9931129476584022,1,0.9891774891774892,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
102550,AL,0.9589823890756247,0.9593003249066243,0.9592351488055698,0.9599607742220633,0.9391831791489839,0.9523809523809523,0.9615324677637671,0,0,0,0,NA,NA,0,1,1,1,1,NA,NA,1
102580,AL,0.9228215605150523,0.9328355562909961,0.937204746295548,0.9409534597861164,0.9272349406046247,0.9438565125938563,0.9255047906582294,0,0,0,0,0,0,0,1,1,1,1,1,1,1
102610,AL,0.9426935312831389,0.9398817716206763,0.9411249290358517,0.9393778720395899,0.9512195121951219,NA,0.9393778720395899,0,0,0,0,NA,NA,0,1,1,1,1,NA,NA,1
102635,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102640,AL,0.9538210777148829,0.9443861653922203,0.9502143805709251,0.9508715020330065,0.9243243243243244,0.9882005899705014,0.9341242596057796,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102670,AL,NA,0.9284081116792096,0.9333333333333333,0.9333333333333333,NA,0.9230769230769231,0.9333333333333333,NA,0,0,0,NA,0,0,NA,0.5197908887229276,1,1,NA,0,1
102700,AL,0.9016676944769287,0.890353621626384,0.9021374765121747,0.9115084049130101,0.892734084757111,0.8818443791716818,0.897051201006588,0,0,0,0,0,NA,0,0.7560975609756098,0.7595628415300546,0.6809045226130653,1,0.9230769230769231,NA,0.7954545454545454
102730,AL,0.967432556205716,0.8945086962258709,0.977262616826283,0.9563122564036648,0.9583177130794651,NA,0.9574662649001818,0,0.2872340425531915,0.13013698630136986,0.09090909090909091,0,NA,0.3333333333333333,0,0,0,0,0,NA,0
102760,AL,0.9646916681730607,0.9636507576003375,0.9609526038097467,0.9655510852989845,0.9630771227409883,0.9411764705882353,0.9641292810560519,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
102790,AL,0.9685523251446172,0.9698017713198698,0.9719227604066829,0.9809626436781609,0.9686765510802021,NA,0.9669980346780105,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0
102820,AL,0.9314410492436117,0.92577883789799,0.9311200397196794,0.9362363798703522,0.9301507789102057,1,0.9285544726398123,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
102850,AL,0.9302297445382622,0.9316440251489041,0.9328209557590491,0.9353154287442409,0.9430202859014991,0.9285714285714286,0.917142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102880,AL,0.9116958593372987,0.9096086174996965,0.9211350256309258,0.925988460666358,0.9096437425170913,0.9033468692006514,0.9143237955503001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102910,AL,0.9693771815187947,0.9692860110289572,0.971120237406657,0.949090760157274,0.9724686264196392,0.9811320754716982,0.9646852006613778,0,0,0,0,0,NA,0,1,1,1,1,1,NA,1
102940,AL,0.9725843475469165,0.9710565557374068,0.9751928627715861,0.9832631993695824,0.9671285688306964,0.9787234042553192,0.9657210401891253,0,0,0,0,0,0,NA,1,1,1,1,1,1,NA
102970,AL,0.9047619047619048,0.927586270679807,0.9823660714285715,1,1,0.8571428571428571,0.95,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,NA
103000,AL,0.9283907692307691,0.9403554058844381,0.934239655651208,0.9090153846153846,0.9475692307692307,NA,0.9096903846153845,0,0,0,0,NA,NA,0,1,1,1,1,NA,NA,1
103030,AL,0.9582301171897981,0.9571534993384468,0.9574248444653523,0.9619473019740942,0.9564627486649058,0.9744648568569325,0.9570580168018238,0.014742014742014743,0.011915673693858845,0.006168900233992768,0.007936507936507936,0,0,0,0.9852579852579852,0.9880843263061412,0.9938310997660073,0.9920634920634921,1,1,1
103062,AL,0.9538087400237282,0.9529972953486704,0.9560004168339419,0.9568241059279329,0.9468588193218664,0.9372215482580949,0.948921194116254,0,0,0,0,0,NA,0,0.888,0.7401315789473685,0.8102880658436215,0.6521739130434783,0.75,NA,0.7142857142857143
103090,AL,0.9538862918584589,0.9618905566869954,0.9422814464563969,0.972972972972973,0.8011928429423459,NA,0.972972972972973,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0
103120,AL,0.9271572054549226,0.9128671971239639,0.9110670601705487,0.9200223433751398,0.8801511907947551,0.9223803363518758,0.9008933185461337,0,0,0,0,NA,NA,0,1,1,1,1,NA,NA,1
103150,AL,0.8907955784659735,0.9437949096109642,0.9641477894428605,0.9686170308264062,0.9629629629629629,NA,0.9667466749002224,0,0,0,NA,0,NA,0,1,1,1,NA,1,NA,1
103180,AL,0.9808085550604422,0.9787945946359039,0.9823222876386073,0.9851663847357124,0.973781179138322,0.9965986394557823,0.983874045451514,0,0,0,0,0,0,0,0.6792452830188679,0.6798336798336798,0.5210291934685799,0.5833333333333334,1,0,0.782608695652174
103210,AL,0.9823813583404376,0.9674323215750616,0.9848204032387016,0.947463768115942,0.9913043478260869,0.9945652173913043,0.9795102448775613,0,0,0,0,0,0,0,0.24390243902439024,0.6141732283464567,0.20663068619892058,1,0,0,0.36363636363636365
103240,AL,0.943545942967351,0.941117286809737,0.9398729880703315,0.9387861811391223,0.957516339869281,0.9803921568627451,0.946205148726157,0,0,0,0,NA,NA,0,1,1,1,1,NA,NA,1
103270,AL,0.921723472912676,0.9246464102797091,0.9284984022409836,0.9440524226088641,0.9052773055343345,0.9437321937321937,0.9165327647283166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103300,AL,0.8874824465595257,0.9005019387945115,0.8973757872936537,0.8931190513340614,NA,NA,0.8846153846153846,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA
103330,AL,0.9159849653270706,0.9185129026460296,0.9166032599574081,0.9197174755069492,0.9097569097569098,0.922077922077922,0.9211181800655485,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0
103360,AL,0.8298718045082918,0.7856604751313055,0.8797457227938609,0.8695891257644375,0.8206665083468049,0.7630976803452586,0.8527962612429797,0,0.008502598016060462,0.0043859649122807015,0,0,0,0.1111111111111111,1,0.9914974019839395,0.9956140350877193,1,1,1,0.8888888888888888
